Proverb,Translation,Meaning,Tags
"Ukpana Okpoko buru, nti chiri ya ",The grasshopper that was picked by the hornbill was hard of hearing,,
"Onye a ga eji ehi kwa, ?d?r? mma ka as? na ?b? oke tagburu ya ",It is not fitting to say that the one who is to have a cow slaughtered at his funeral was killed by mice,,
Okenye agagh? an? na un? ewu am?? na ogb?,An elder cannot sit idly at home and watch the she goat birth while tethered,,
Onye na an?gh? mgbe e liri ozu na esi na isi avolite ya.,It is the person who was absent at the interment of the corpse that starts from the head to exhume it,,
Oke mmadu abugh? oke okwu,A high status does not suggest wise words,,
Awo ad?gh? agba ?s? efifie na nk?t?,The toad does not run in the day time without a cause,,
Ibu adighi ebugide isi,It is not the load that bears the head,,
Ad?gh? agwa ochi nt? na agha esu,You need not announce to the hard of hearing that war has begun,,
Nwa nza rijuo af? ?s? chi ya bia were ya,"When the robin has had its full, it challenges its chi to take it away",,
"Onye rijuo af?, ? dachiere chi ya ?z?","When providence smiles on someone, he decides to challenge his chi",,
Nne ?k?k? s?r? na ihe meere o ji akwa akwa ma egbe buru nwa ya ab?gh? ka ife ji ya raa ya aka; kama ? ka ?wa n?r? onu ya,The hen says that why it cackles when the hawk carries off her chicks is not so that what has grabbed it may let go but rather that the earth may bear witness.,,Character
Ihe egbe m?r? agagh? ?bu ?k?k? ,what was birthed by the hawk will never not carry off the hen,,
"Agw? s?r? na ?b?r? na omeghi ihe o jiri buru agw?, ?m?aka ewere ya kee nk?"," The snake says that if it does not act true to its nature, children will assume it is a rope",,
"Egbe bel?, ugo bel?; nke s? na ibe ya ebena, nku kwaa ya ","Let the hawk perch, let the eagle perch; the one that denies the other of this should suffer broken wings",,
Onye n? mmad? nso na an? isi ?n?,It is someone who is closest to another that can tell their mouth odour,,
"Onye ala s?r? na ife ejighi agw?ta ara ya agw?ta b? na ya ga ekwu nke a, ?z? agbatia na ?n?","The mad man said that why it is difficult to find a cure for his ailment is that when he tries to say one thing, another rushes through his mouth",,
"Onye ar? gbal?, a gbaa ?d?, a kwagharia l? ya ahia","When a person does a shameful thing, his peers move their wares far from him",,
"Ka am? aj? na nj?, ? ka akwa mma","No matter how ugly laughter may be, it is still better than crying",,Mourning; happiness
"Onye kweta al?s? ewu mana ojighi ego, ? gafee na ihu ar?s?, ? s? na ? b? ?s? ewu ka ya na agba","When a person promises the deity a goat and he hasn't got the money, whenever he must pass the shrine he does so hurriedly, pretending to be in a hurry to go procure the goat",,promises; debt
"Onye k? chaa ife ? na ar?a, a s?ba ya oyi","If a person tells all that ails them, people begin to avoid",,restraint; propriety
"Aja adakpoghi ajadu, ? nara ama na di ya nw?r?","Until the walls of the compound collapses over her head, a widow/widower may not feel the death of their partner",,
