Name,Gender,pronunciation,Type,Sub-type,Igbo Orthography,Translation,Meaning,Related Names,Notes,Famous persons,Name Spread,Ndebe Script
Abah,,,Given Name,Last Name,,,,,,,,
Abana,,,Given Name,Last Name,,,,,,,,
Abanihe,,,Given Name,,,,,,,,,
Abanime,,,Given Name,,,,,,,,,
Abuchi,,,Given Name,First Name,/Ab?gh?-chi/ ,"Not God. short for Iroabuchi, Maduabuchi, Ibeabuchi",,,,,,
Abumnkechukwu,,,Given Name,First Name,/Ab?-m-nke-chukwu/, I am God's own,,,,,,
Achebe,,,Given Name,First Name,/A-che-be/,A contraction of Anichebe,,,,,,
Achigbu,,,,,/Achigbu/,Do not misrule,,,,,,
Achinanya,,,,,,,,,,,,
Achufusi,,,,,/Ach?f?si/ ,lit: Do not drive away. Possibly- Achufusinaku: Do not drive away your wealth.,,,,,,
Achugbu,,,,,,,,,,,,
Achuzia,,,,,,,,,,,,
Ada,,,,,/Àdà/ ,The first female child of the family,,,,,,
Adaeze,,,,,/Ada-eze/ ,The daughter of a king,,,,,,
Adaku,,,,,/Ada-ak?/ ,Female child who will bring wealth,,,,,,
Adamma,,,,,/Ada-mma/,A beautiful daughter,,,,,,
Adaugo,,,,,/Ada-ugo/,A daughter who brings honor,,,,,,
Adichie,,,,,/A-d?-ch?e/ ,of filial succession. We shall live and have descendants succeed us. See Edochie,,,,,,
Adiele,,,,,,,,,,,,
Adigwe,,,,,/A-d?-igwe/ ,of family size. We shall have a multitude (of descendants),,,,,,
Adike,,,,,/Aa-di-ike/ We shall be powerful,,,,,,,
Adinnuh,,,,,,,,,,,,
Adinuba,,,,,/Ad?-na-?ba/ of prosperity. We shall prosper ,,,,,,,
Adirika,,,,,/A-d?r?-ka/ of long life. [We] shall live a long fruitful life,,,,,,,
Adokwe,,,,,,,,,,,,
Adunchezor,,,,,/Ad?-nchez?/ Unforgettable OR Remarkable,,,,,,,
Adunkachi,,,,,/Ad?-nkachi/ One who can't be dismissed,,,,,,,
Afa,,,,,/Afa/ Divination,,,,,,,
Afamefuna,,,,,"/Afa-m-efuna/ Lit: May my name never be lost. Dialectal var. of Ahamefula. *When the Igbo's speak about names, it also connotes our heritage, culture or history.",,,,,,,
